address,location/lat,location/lng
"2 Blueberry Road Cape Elizabeth, ME 04107",43.6322062,-70.23465840000000
"4 Blueberry Road Cape Elizabeth, ME 04107",43.6323968,-70.2344372
"9 Blueberry Road Cape Elizabeth, ME 04107",43.63306440000000,-70.2329795
"14 Blueberry Road Cape Elizabeth, ME 04107",43.63339030000000,-70.2334753
"12 Blueberry Road Cape Elizabeth, ME 04107",43.6331893,-70.2336919
"6 Blueberry Road Cape Elizabeth, ME 04107",43.6329411,-70.2338603
"39 Boat Cove Road Cape Elizabeth, ME 04107",43.5905376,-70.21537050000000
"40 Boat Cove Road Cape Elizabeth, ME 04107",43.5902558,-70.2163849
"36 Boat Cove Road Cape Elizabeth, ME 04107",43.5902884,-70.2174529
"38 Boat Cove Road Cape Elizabeth, ME 04107",43.589251,-70.218998
"4 Boathouse Lane Cape Elizabeth, ME 04107",43.5883335,-70.20893820000000
"6 Boathouse Lane Cape Elizabeth, ME 04107",43.5883335,-70.20893820000000
"95 Bowery Beach Road Cape Elizabeth, ME 04107",43.56738200000000,-70.23281
"0 Bowery Beach Road Cape Elizabeth, ME 04107",43.5702759,-70.2226261
"40 Bowery Beach Road Cape Elizabeth, ME 04107",43.5671781,-70.2273943
"189 Bowery Beach Road Cape Elizabeth, ME 04107",43.5720533,-70.2463956
"79 Bowery Beach Road Cape Elizabeth, ME 04107",43.567714,-70.23250640000000
"192 Bowery Beach Road Cape Elizabeth, ME 04107",43.572897,-70.2479941
"226 Bowery Beach Road Cape Elizabeth, ME 04107",43.5754436,-70.2507905
"0 Bowery Beach Road Cape Elizabeth, ME 04107",43.5702759,-70.2226261
"235 Bowery Beach Road Cape Elizabeth, ME 04107",43.5771007,-70.2502267
"247 Bowery Beach Road Cape Elizabeth, ME 04107",43.5790687,-70.2508734
"34 Bowery Beach Road Cape Elizabeth, ME 04107",43.5676326,-70.226885
"239 Bowery Beach Road Cape Elizabeth, ME 04107",43.57792210000000,-70.2499225
"49 Bowery Beach Road Cape Elizabeth, ME 04107",43.5682966,-70.2271979
"243 Bowery Beach Road Cape Elizabeth, ME 04107",43.5785039,-70.2504514
"90 Bowery Beach Road Cape Elizabeth, ME 04107",43.56621,-70.234285
"32 Bowery Beach Road Cape Elizabeth, ME 04107",43.5673833,-70.2262494
"11 Bowery Beach Road Cape Elizabeth, ME 04107",43.5699823,-70.2240909
"53 Bowery Beach Road Cape Elizabeth, ME 04107",43.5682017,-70.2281157
"17 Bowery Beach Road Cape Elizabeth, ME 04107",43.5692992,-70.2243797
"33 Bowery Beach Road Cape Elizabeth, ME 04107",43.5689296,-70.2254188
"51 Bowery Beach Road Cape Elizabeth, ME 04107",43.5683057,-70.2277075
"37 Bowery Beach Road Cape Elizabeth, ME 04107",43.5680637,-70.2262562
"21 Bowery Beach Road Cape Elizabeth, ME 04107",43.5690481,-70.22491890000000
"2 Bowery Beach Road Cape Elizabeth, ME 04107",43.5697809,-70.2226402
"6 Bowery Beach Road Cape Elizabeth, ME 04107",43.5693249,-70.2229444
"39 Bowery Beach Road Cape Elizabeth, ME 04107",43.5684795,-70.226693
"27 Bowery Beach Road Cape Elizabeth, ME 04107",43.5684465,-70.2249724
"3 Bradford Road Cape Elizabeth, ME 04107",43.62081130000000,-70.2475658
"4 Bradford Road Cape Elizabeth, ME 04107",43.6205201,-70.24776770000000
"96 Breakwater Farm Road Cape Elizabeth, ME 04107",43.559584,-70.2389441
"0 Breakwater Farm Road Cape Elizabeth, ME 04107",43.5626913,-70.2407859
"0 Breakwater Farm Road Cape Elizabeth, ME 04107",43.5626913,-70.2407859
"98 Breakwater Farm Road Cape Elizabeth, ME 04107",43.5687236,-70.2405866
"107 Breakwater Farm Road Cape Elizabeth, ME 04107",43.5564691,-70.2414837
"102 Breakwater Farm Road Cape Elizabeth, ME 04107",43.5574383,-70.2398541
"100 Breakwater Farm Road Cape Elizabeth, ME 04107",43.5577267,-70.2405881
"0 Breakwater Farm Road Cape Elizabeth, ME 04107",43.5626913,-70.2407859
"96 Breakwater Farm Road Cape Elizabeth, ME 04107",43.559584,-70.2389441
"72 Brentwood Road Cape Elizabeth, ME 04107",43.59765300000000,-70.2364175
"14 Brentwood Road Cape Elizabeth, ME 04107",43.5963715,-70.23963430000000
"76 Brentwood Road Cape Elizabeth, ME 04107",43.5973473,-70.2365599
"69 Brentwood Road Cape Elizabeth, ME 04107",43.59770290000000,-70.2370943
"68 Brentwood Road Cape Elizabeth, ME 04107",43.5979478,-70.2364475
"27 Brentwood Road Cape Elizabeth, ME 04107",43.597204,-70.23886690000000
"18 Brentwood Road Cape Elizabeth, ME 04107",43.5966664,-70.2395876
"60 Brentwood Road Cape Elizabeth, ME 04107",43.5985899,-70.2367459
"80 Brentwood Road Cape Elizabeth, ME 04107",43.5970542,-70.2367447
"49 Brentwood Road Cape Elizabeth, ME 04107",43.5983927,-70.2378941
"6 Brentwood Road Cape Elizabeth, ME 04107",43.5957946,-70.2399088
"57 Brentwood Road Cape Elizabeth, ME 04107",43.598513,-70.2375428
"84 Brentwood Road Cape Elizabeth, ME 04107",43.5967267,-70.2367347
"10 Brentwood Road Cape Elizabeth, ME 04107",43.5960892,-70.23976310000000
"43 Brentwood Road Cape Elizabeth, ME 04107",43.598172,-70.2380309
"44 Brentwood Road Cape Elizabeth, ME 04107",43.5983788,-70.238537
"7 Brentwood Road Cape Elizabeth, ME 04107",43.595951,-70.2392984
"52 Brentwood Road Cape Elizabeth, ME 04107",43.5988489,-70.2380981
"61 Brentwood Road Cape Elizabeth, ME 04107",43.5983688,-70.23721260000000
"39 Brentwood Road Cape Elizabeth, ME 04107",43.5979108,-70.2382086
"86 Brentwood Road Cape Elizabeth, ME 04107",43.596456,-70.236648
